IdTweet,IdUser,UserName,ScreenName,Location,TweetAt,UploadTweet,OriginalTweet
1471306226105417730,320064730,Afif Udin🇮🇩,afif_lmg,"ÜT: -7.3248241,112.7885584",2021-12-16 02:28:34+00:00,Twitter for Android,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471306207772037121,1241381234753691648,Cendol hitam,abiemdayan72,,2021-12-16 02:28:30+00:00,Twitter for Android,"Laporan harta ke KPK, kpk yang mana nih ? Pengin ketawa https://t.co/aJidNqv86B"
1471306192060227585,1231752396860203008,ꦦꦼꦤ꧀ꦗꦒ ꦦꦤ꧀ꦕꦱꦶꦭ,TriIriandono,,2021-12-16 02:28:26+00:00,Twitter for Android,"Perlu klarifikasi dari @firlibahuri dan @KPK_RI terkait poster ini.

Rakyat sdh menduga dan terus bertakon2, knp ka… https://t.co/ppjeq2RY3i"
1471306105976328198,215601167,Victor Pangkey,victorpangkey,Jakarta,2021-12-16 02:28:05+00:00,Twitter Web App,@Slampdunk88 @KPK_RI Apanya?
1471306104638373890,924218076840595457,Landak,IjoLandak,di hatimu,2021-12-16 02:28:05+00:00,Twitter Web App,@FerdinandHaean3 masa @KPK_RI cuma diam saja
1471305729462071296,1291735995004547072,Tahan Tejep,TahanTejep,"Kalimantan Tengah, Indonesia",2021-12-16 02:26:36+00:00,Twitter for Android,"Polri, Kejaksaan RI, &amp; KPK Semakin Efektif, Berani Dan Profesional Dalam Memberantas Korupsi
Ayo Disiplin Prokes https://t.co/aOon1txIOR"
1471305692778614785,109296112,Hanamichi sakuragi,Slampdunk88,"Kota Surabaya, Jawa Timur",2021-12-16 02:26:27+00:00,Twitter for iPhone,@victorpangkey @KPK_RI Lama-lama kelihatan dengan sendirinya 😅
1471305624390541312,1265916778439303168,DUIT RAKYAT,Sumanto59653397,,2021-12-16 02:26:11+00:00,Twitter for Android,"RT @putih_pejuang: @InSrikandi_____ KPK TAKUT USUT MAFIA PCR

@PedjoeangToea 
@AwanPutih3333 
@Sunset___17 
@Tauhid_SHA
@Iseng57185173
@Fit…"
1471305618078064645,109296112,Hanamichi sakuragi,Slampdunk88,"Kota Surabaya, Jawa Timur",2021-12-16 02:26:09+00:00,Twitter for iPhone,"RT @victorpangkey: Pak Firly ketua @KPK_RI , 
1. Apa hubungannya Presidential Threshold dg tingginnya biaya peserta Pilkada?
2. Lebih baik…"
1471305593549848576,1265916778439303168,DUIT RAKYAT,Sumanto59653397,,2021-12-16 02:26:03+00:00,Twitter for Android,"RT @putih_pejuang: @InSrikandi_____ KPK TAKUT USUT MAFIA PCR

 @M4nus14Bum1 
@AwanBiru7654 
@cobeh2021 
@trustnoone9999 
@Jamlean_Saleh
@Ja…"
1471305534066212866,190278550,Free willy,free_witty,indonesia,2021-12-16 02:25:49+00:00,Twitter for Android,@Fer_78748 Pantas saja kpk.gak punya keberanian.
1471305498674692098,1227071804205699072,antdjun,antdjun1,,2021-12-16 02:25:41+00:00,Twitter for Android,"Nah jls Kan skg, KPK komplotan pelindung koruptor!!! Pecat &amp; proses hukum Firli!!! Dia itu anjing nya Anies CS &amp; ge… https://t.co/0FKH64lTRg"
1471305440646496257,1030639089584726017,IM'S SGK,SGK55698964,Indonesia,2021-12-16 02:25:27+00:00,Twitter for Android,@AdvSupyadi @KPK_RI Kumisi pemutihan korupsi
1471305439329484803,3098485004,Herman Syam El-Hafiz,uhersyam,"Jakarta,Indonesia",2021-12-16 02:25:26+00:00,Twitter Web App,"@FerdinandHaean3 @KPK_RI Ya jokowi juga akan dipidana lama setelah lengser.
Merugikan neraga terbesar dalam sejarah… https://t.co/Fc9tCV4ydX"
1471305362439434245,1201068944406171648,penikmat kopi hitam,garong_roky,Hong Kong,2021-12-16 02:25:08+00:00,Twitter for Android,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471305180536659974,1428301726663151619,Pembunuh Kodok Penjilat,KodokPenjilat,,2021-12-16 02:24:25+00:00,Twitter for Android,"@FerdinandHaean3 @KPK_RI Memang nya, bapak muyanh kamu yg py penjara, perdinand bangsat penjilat"
1471305139654852611,1179154848865873920,saga santorini,SagaSantorini,,2021-12-16 02:24:15+00:00,Twitter for Android,"RT @mahasiswigenz: Ouhh ternyata Ketua KPK pernah jd IDOLA Aksi 212.

Apa ini tanda KPK takut Periksa Formula-E ?? https://t.co/ONNjfznYLJ"
1471305128468631554,1337026329879793666,baliandra,baliandra2,,2021-12-16 02:24:12+00:00,Twitter for iPhone,"RT @quinna20202: @SitiPatimahAja Beranikah KPK Basmi Koruptor di Papua, Panglima OPM : Jangan Takut Kami Kawal...

#KPKTakutUsutMafiaPCR
#K…"
1471305075242901508,1450456642210910211,Bisma,pembela230,"DKI Jakarta, Indonesia",2021-12-16 02:24:00+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI Cuih..jancuk kowe Fer https://t.co/DPVPwV9AXE
1471305068183838722,1337026329879793666,baliandra,baliandra2,,2021-12-16 02:23:58+00:00,Twitter for iPhone,RT @KangUtang04: @Asepbar84011121 @NgaciroSL @Hmmurahmurahhm2 @KiLurahIdiot @Korban_Rezim @ANDI_ALFARIS1 @Tya_Samarinda @PandoraPapers22 @A…
1471305060592271365,1269308836336349184,wong cilik,Gilang82putra,"DKI Jakarta, Indonesia",2021-12-16 02:23:56+00:00,Twitter for Android,"@Andin1988 Wahana ajang #korupsi
@KPK_RI 
@antikorupsi 
@podomingkem"
1471305007878135812,1337026329879793666,baliandra,baliandra2,,2021-12-16 02:23:44+00:00,Twitter for iPhone,RT @KangUtang04: @encesutisna @sayyid_alkafff @Asepbar84011121 @NgaciroSL @Hmmurahmurahhm2 @KiLurahIdiot @Korban_Rezim @ANDI_ALFARIS1 @Tya_…
1471304976911585287,1180329815817089024,@athet,athet13261689,,2021-12-16 02:23:36+00:00,Twitter for Android,"RT @Ar07Pangeran: Se enak JIDAT KALIAN saja!
.
.
.
Maju Mundur Maju Mundur...! (syaaantiiik)
.
.
Apakah selama ini TANPA DIKAJI, BUANG DUIT…"
1471304968023908354,1337026329879793666,baliandra,baliandra2,,2021-12-16 02:23:34+00:00,Twitter for iPhone,RT @KangUtang04: @NurNeng21995172 @Asepbar84011121 @NgaciroSL @Hmmurahmurahhm2 @KiLurahIdiot @Korban_Rezim @ANDI_ALFARIS1 @Tya_Samarinda @P…
1471304818673082371,1035635914863607809,Suryanto,Suryantoooo,Malang ,2021-12-16 02:22:58+00:00,Twitter for Android,"Wingi jarene Firli cs, perubahan UU KPK dan #TWKwk adalah upaya membersihkan KPK dari kaum radikal. Pie to iki sido… https://t.co/oPSEcoHh7y"
1471304811672862721,1356520652094627841,anabel,anabelaja,,2021-12-16 02:22:57+00:00,Twitter for Android,"KPK tak Lelah Berantas Korupsi
Ayo Disiplin Prokes https://t.co/mVDBzaAXln"
1471304794664943620,1360609073171894274,bhre ko,bhre_ko,,2021-12-16 02:22:53+00:00,Twitter for Android,"@FerdinandHaean3 @RyaWiedy @KPK_RI penebangan pohon di area monas itu bagaimana? 
kok adem ayem saja, monas : monumen nasional  !"
1471304787828248578,199356232,titut mulyono m.,titut_mulyono,Jakarta - Indonesia,2021-12-16 02:22:51+00:00,Twitter for iPhone,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471304683046146048,1356520652094627841,anabel,anabelaja,,2021-12-16 02:22:26+00:00,Twitter for Android,"Faktanya Kni KPK Semakin Profesional
Ayo Disiplin Prokes https://t.co/9G5fE3SXVD"
